Date,Cases
2020-01-22,1096
2020-01-23,1286
2020-01-24,1840
2020-01-25,2812
2020-01-26,4150
2020-01-27,5754
2020-01-28,11018
2020-01-29,12174
2020-01-30,16282
2020-01-31,19604
2020-02-01,23782
2020-02-02,33260
2020-02-03,39432
2020-02-04,47414
2020-02-05,54880
2020-02-06,61174
2020-02-07,68220
2020-02-08,73628
2020-02-09,79658
2020-02-10,84708
2020-02-11,88772
2020-02-12,89518
2020-02-13,119790
2020-02-14,132716
2020-02-15,136826
2020-02-16,141026
2020-02-17,144868
2020-02-18,148422
2020-02-19,149238
2020-02-20,150154
2020-02-21,151100
2020-02-22,154002
2020-02-23,154044
2020-02-24,154482
2020-02-25,155508
2020-02-26,156332
2020-02-27,157200
2020-02-28,157856
2020-02-29,158712
2020-03-01,159864
2020-03-02,160272
2020-03-03,160522
2020-03-04,160772
2020-03-05,161074
2020-03-06,161380
2020-03-07,161540
2020-03-08,161646
2020-03-09,161720
2020-03-10,161774
2020-03-11,161842
2020-03-12,161864
2020-03-13,161890
2020-03-14,161954
2020-03-15,162006
2020-03-16,162066
2020-03-17,162116
2020-03-18,162204
2020-03-19,162312
2020-03-20,162500
2020-03-21,162610
2020-03-22,162870
2020-03-23,162996
2020-03-24,163182
2020-03-25,163322
2020-03-26,163564
2020-03-27,163794
2020-03-28,163998
2020-03-29,164244
2020-03-30,164396
2020-03-31,164558
2020-04-01,164722
2020-04-02,164864
2020-04-03,165022
2020-04-04,165086
2020-04-05,165204
2020-04-06,165330
2020-04-07,165436
2020-04-08,165618
2020-04-09,165766
2020-04-10,165882
2020-04-11,166028
2020-04-12,166268
2020-04-13,166426
2020-04-14,166612
2020-04-15,166712
2020-04-16,166806
2020-04-17,167520
2020-04-18,167574
2020-04-19,167610
2020-04-20,167634
2020-04-21,167706
2020-04-22,167736
2020-04-23,167768
2020-04-24,167798
2020-04-25,167818
2020-04-26,167824
2020-04-27,167836
2020-04-28,167880
2020-04-29,167888
2020-04-30,167912
2020-05-01,167918
2020-05-02,167918
2020-05-03,167928
2020-05-04,167932
2020-05-05,167936
2020-05-06,167940
2020-05-07,167950
2020-05-08,167952
2020-05-09,167980
2020-05-10,168020
2020-05-11,168022
2020-05-12,168036
2020-05-13,168048
2020-05-14,168058
2020-05-15,168076
2020-05-16,168088
2020-05-17,168108
2020-05-18,168126
2020-05-19,168126
2020-05-20,168126
2020-05-21,168126
2020-05-22,168162
2020-05-23,168168
2020-05-24,168190
2020-05-25,168204
2020-05-26,168206
2020-05-27,168212
2020-05-28,168212
2020-05-29,168246
2020-05-30,168256
2020-05-31,168292
2020-06-01,168308
2020-06-02,168322
2020-06-03,168320
2020-06-04,168342
2020-06-05,168354
2020-06-06,168372
2020-06-07,168382
2020-06-08,168390
2020-06-09,168396
2020-06-10,168418
2020-06-11,168432
2020-06-12,168456
2020-06-13,168572
2020-06-14,168670
2020-06-15,168756
2020-06-16,168844
2020-06-17,168916
2020-06-18,168988
2020-06-19,168988
2020-06-20,169106
2020-06-21,169144
2020-06-22,169248
2020-06-23,169306
2020-06-24,169346
2020-06-25,169402
2020-06-26,169450
2020-06-27,169486
2020-06-28,169514
2020-06-29,169560
2020-06-30,169570
2020-07-01,169632
2020-07-02,169660
2020-07-03,169676
2020-07-04,169714
2020-07-05,169742
2020-07-06,169778
2020-07-07,169834
2020-07-08,169900
2020-07-09,169984
2020-07-10,169984
2020-07-11,170142
2020-07-12,170234
2020-07-13,170234
2020-07-14,170452
2020-07-15,170492
2020-07-16,170654
2020-07-17,170804
2020-07-18,170836
2020-07-19,171006
2020-07-20,171244
2020-07-21,171416
2020-07-22,171812
2020-07-23,172090
2020-07-24,172404
2020-07-25,172762
2020-07-26,173140
2020-07-27,173566
2020-07-28,173980
2020-07-29,174426
2020-07-30,174978
2020-07-31,175310
2020-08-01,175654
2020-08-02,175970
2020-08-03,176198
2020-08-04,176412
2020-08-05,176656
2020-08-06,176920
2020-08-07,177160
2020-08-08,177344
2020-08-09,177586
2020-08-10,177812
2020-08-11,177916
2020-08-12,178090
2020-08-13,178288
2020-08-14,178428
2020-08-15,178558
2020-08-16,178750
2020-08-17,178882
2020-08-18,178988
2020-08-19,179054
2020-08-20,179134
2020-08-21,179232
2020-08-22,179308
2020-08-23,179390
2020-08-24,179436
2020-08-25,179504
2020-08-26,179568
2020-08-27,179628
2020-08-28,179672
2020-08-29,179726
2020-08-30,179790
2020-08-31,179828
2020-09-01,179866
2020-09-02,179906
2020-09-03,179972
2020-09-04,180016
2020-09-05,180050
2020-09-06,180116
2020-09-07,180156
2020-09-08,180174
2020-09-09,180200
2020-09-10,180254
2020-09-11,180290
2020-09-12,180336
2020-09-13,180394
2020-09-14,180438
2020-09-15,180470
2020-09-16,180506
2020-09-17,180588
2020-09-18,180622
2020-09-19,180668
2020-09-20,180738
2020-09-21,180762
2020-09-22,180798
2020-09-23,180818
2020-09-24,180848
2020-09-25,180882
2020-09-26,180912
2020-09-27,180966
2020-09-28,181010
2020-09-29,181056
2020-09-30,181090
2020-10-01,181134
2020-10-02,181168
2020-10-03,181208
2020-10-04,181258
2020-10-05,181304
2020-10-06,181334
2020-10-07,181374
2020-10-08,181456
2020-10-09,181502
2020-10-10,181556
2020-10-11,181624
2020-10-12,181660
2020-10-13,181716
2020-10-14,181738
2020-10-15,181810
2020-10-16,181850
2020-10-17,181910
2020-10-18,181944
2020-10-19,182012
2020-10-20,182044
2020-10-21,182088
2020-10-22,182146
2020-10-23,182216
2020-10-24,182256
2020-10-25,182302
2020-10-26,182350
2020-10-27,182444
2020-10-28,182542
2020-10-29,182598
2020-10-30,182678
2020-10-31,182732
2020-11-01,182794
2020-11-02,182904
2020-11-03,182956
2020-11-04,183018
2020-11-05,183104
2020-11-06,183182
