Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,2
2020-02-03,3
2020-02-04,3
2020-02-05,3
2020-02-06,3
2020-02-07,3
2020-02-08,3
2020-02-09,3
2020-02-10,3
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,3
2020-02-25,3
2020-02-26,3
2020-02-27,3
2020-02-28,3
2020-02-29,3
2020-03-01,3
2020-03-02,5
2020-03-03,5
2020-03-04,28
2020-03-05,30
2020-03-06,31
2020-03-07,34
2020-03-08,39
2020-03-09,43
2020-03-10,56
2020-03-11,62
2020-03-12,73
2020-03-13,82
2020-03-14,102
2020-03-15,113
2020-03-16,119
2020-03-17,142
2020-03-18,156
2020-03-19,194
2020-03-20,244
2020-03-21,330
2020-03-22,396
2020-03-23,499
2020-03-24,536
2020-03-25,657
2020-03-26,727
2020-03-27,887
2020-03-28,987
2020-03-29,1024
2020-03-30,1251
2020-03-31,1397
2020-04-01,1998
2020-04-02,2543
2020-04-03,2567
2020-04-04,3082
2020-04-05,3588
2020-04-06,4778
2020-04-07,5311
2020-04-08,5916
2020-04-09,6725
2020-04-10,7598
2020-04-11,8446
2020-04-12,9205
2020-04-13,10453
2020-04-14,11487
2020-04-15,12322
2020-04-16,13430
2020-04-17,14352
2020-04-18,15722
2020-04-19,17615
2020-04-20,18539
2020-04-21,20080
2020-04-22,21370
2020-04-23,23077
2020-04-24,24530
2020-04-25,26283
2020-04-26,27890
2020-04-27,29451
2020-04-28,31324
2020-04-29,33062
2020-04-30,34863
2020-05-01,37257
2020-05-02,39699
2020-05-03,42505
2020-05-04,46437
2020-05-05,49400
2020-05-06,52987
2020-05-07,56351
2020-05-08,59695
2020-05-09,62808
2020-05-10,67161
2020-05-11,70768
2020-05-12,74292
2020-05-13,78055
2020-05-14,81997
2020-05-15,85784
2020-05-16,90648
2020-05-17,95698
2020-05-18,100328
2020-05-19,106475
2020-05-20,112028
2020-05-21,118226
2020-05-22,124794
2020-05-23,131423
2020-05-24,138536
2020-05-25,144950
2020-05-26,150793
2020-05-27,158086
2020-05-28,165386
2020-05-29,173491
2020-05-30,181827
2020-05-31,190609
2020-06-01,198370
2020-06-02,207191
2020-06-03,216824
2020-06-04,226713
2020-06-05,236184
2020-06-06,246622
2020-06-07,257486
2020-06-08,265928
2020-06-09,276146
2020-06-10,286605
2020-06-11,297535
2020-06-12,308993
2020-06-13,320922
2020-06-14,332424
2020-06-15,343091
2020-06-16,354065
2020-06-17,366946
2020-06-18,380532
2020-06-19,395048
2020-06-20,410451
2020-06-21,425282
2020-06-22,440215
2020-06-23,456183
2020-06-24,473105
2020-06-25,490401
2020-06-26,508953
2020-06-27,528859
2020-06-28,548318
2020-06-29,566840
2020-06-30,585481
2020-07-01,604641
2020-07-02,625544
2020-07-03,648315
2020-07-04,673165
2020-07-05,697413
2020-07-06,719664
2020-07-07,742417
2020-07-08,767296
2020-07-09,793802
2020-07-10,820916
2020-07-11,849522
2020-07-12,878254
2020-07-13,906752
2020-07-14,936181
2020-07-15,968857
2020-07-16,1003832
2020-07-17,1039084
2020-07-18,1077781
2020-07-19,1118206
2020-07-20,1155338
2020-07-21,1193078
2020-07-22,1238798
2020-07-23,1288108
2020-07-24,1337024
2020-07-25,1385635
2020-07-26,1435616
2020-07-27,1480073
2020-07-28,1531669
2020-07-29,1581963
2020-07-30,1634746
2020-07-31,1695988
2020-08-01,1750723
2020-08-02,1803695
2020-08-03,1855745
2020-08-04,1908254
