Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,2
2020-03-04,6
2020-03-05,6
2020-03-06,18
2020-03-07,18
2020-03-08,19
2020-03-09,21
2020-03-10,34
2020-03-11,43
2020-03-12,43
2020-03-13,90
2020-03-14,129
2020-03-15,129
2020-03-16,169
2020-03-17,223
2020-03-18,292
2020-03-19,557
2020-03-20,683
2020-03-21,785
2020-03-22,906
2020-03-23,1125
2020-03-24,1329
2020-03-25,1564
2020-03-26,1819
2020-03-27,2121
2020-03-28,2415
2020-03-29,2615
2020-03-30,2910
2020-03-31,3235
2020-04-01,3447
2020-04-02,3849
2020-04-03,4273
2020-04-04,4604
2020-04-05,4994
2020-04-06,5364
2020-04-07,5709
2020-04-08,6074
2020-04-09,6574
2020-04-10,8089
2020-04-11,8928
2020-04-12,9655
2020-04-13,10647
2020-04-14,11479
2020-04-15,12547
2020-04-16,13271
2020-04-17,13980
2020-04-18,14758
2020-04-19,15251
2020-04-20,15652
2020-04-21,16040
2020-04-22,16671
2020-04-23,17607
2020-04-24,18184
2020-04-25,18561
2020-04-26,19262
2020-04-27,19648
2020-04-28,19877
2020-04-29,20253
2020-04-30,20612
2020-05-01,20833
2020-05-02,21176
2020-05-03,21506
2020-05-04,21772
2020-05-05,21983
2020-05-06,22248
2020-05-07,22385
2020-05-08,22541
2020-05-09,22760
2020-05-10,22996
2020-05-11,23135
2020-05-12,23242
2020-05-13,23401
2020-05-14,23827
2020-05-15,23956
2020-05-16,24048
2020-05-17,24112
2020-05-18,24200
2020-05-19,24251
2020-05-20,24315
2020-05-21,24391
2020-05-22,24506
2020-05-23,24582
2020-05-24,24639
2020-05-25,24698
2020-05-26,24735
2020-05-27,24803
2020-05-28,24841
2020-05-29,24876
2020-05-30,24929
2020-05-31,24990
2020-06-01,25062
2020-06-02,25066
2020-06-03,25111
2020-06-04,25142
2020-06-05,25163
2020-06-06,25183
2020-06-07,25201
2020-06-08,25207
2020-06-09,25215
2020-06-10,25231
2020-06-11,25238
2020-06-12,25250
2020-06-13,25295
2020-06-14,25303
2020-06-15,25321
2020-06-16,25334
2020-06-17,25341
2020-06-18,25355
2020-06-19,25368
2020-06-20,25374
2020-06-21,25379
2020-06-22,25383
2020-06-23,25391
2020-06-24,25396
2020-06-25,25405
2020-06-26,25414
2020-06-27,25437
2020-06-28,25439
2020-06-29,25462
2020-06-30,25473
2020-07-01,25477
2020-07-02,25489
2020-07-03,25498
2020-07-04,25509
2020-07-05,25527
2020-07-06,25531
2020-07-07,25538
2020-07-08,25542
2020-07-09,25565
2020-07-10,25589
2020-07-11,25611
2020-07-12,25628
2020-07-13,25638
2020-07-14,25670
2020-07-15,25683
2020-07-16,25698
2020-07-17,25730
2020-07-18,25750
2020-07-19,25760
2020-07-20,25766
2020-07-21,25802
2020-07-22,25819
2020-07-23,25826
2020-07-24,25845
2020-07-25,25869
2020-07-26,25881
2020-07-27,25892
2020-07-28,25929
2020-07-29,25942
2020-07-30,26027
2020-07-31,26065
2020-08-01,26109
2020-08-02,26162
2020-08-03,26208
2020-08-04,26253
2020-08-05,26303
