Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,8
2020-03-16,17
2020-03-17,34
2020-03-18,52
2020-03-19,69
2020-03-20,85
2020-03-21,85
2020-03-22,112
2020-03-23,127
2020-03-24,154
2020-03-25,172
2020-03-26,212
2020-03-27,235
2020-03-28,246
2020-03-29,259
2020-03-30,268
2020-03-31,274
2020-04-01,278
2020-04-02,299
2020-04-03,310
2020-04-04,323
2020-04-05,345
2020-04-06,349
2020-04-07,353
2020-04-08,358
2020-04-09,372
2020-04-10,372
2020-04-11,381
2020-04-12,389
2020-04-13,391
2020-04-14,397
2020-04-15,401
2020-04-16,402
2020-04-17,407
2020-04-18,413
2020-04-19,417
2020-04-20,425
2020-04-21,428
2020-04-22,435
2020-04-23,437
2020-04-24,441
2020-04-25,444
2020-04-26,447
2020-04-27,449
2020-04-28,449
2020-04-29,451
2020-04-30,453
2020-05-01,459
2020-05-02,460
2020-05-03,461
2020-05-04,465
2020-05-05,471
2020-05-06,473
2020-05-07,494
2020-05-08,508
2020-05-09,522
2020-05-10,540
2020-05-11,562
2020-05-12,576
2020-05-13,582
2020-05-14,586
2020-05-15,596
2020-05-16,607
2020-05-17,613
2020-05-18,629
2020-05-19,649
2020-05-20,672
2020-05-21,684
2020-05-22,700
2020-05-23,704
2020-05-24,708
2020-05-25,711
2020-05-26,718
2020-05-27,720
2020-05-28,728
2020-05-29,730
2020-05-30,734
2020-05-31,739
2020-06-01,746
2020-06-02,755
2020-06-03,757
2020-06-04,765
2020-06-05,784
2020-06-06,795
2020-06-07,808
2020-06-08,831
2020-06-09,845
2020-06-10,863
2020-06-11,890
2020-06-12,915
2020-06-13,953
2020-06-14,961
2020-06-15,979
2020-06-16,981
2020-06-17,987
2020-06-18,1001
2020-06-19,1008
2020-06-20,1015
2020-06-21,1033
2020-06-22,1042
2020-06-23,1047
2020-06-24,1071
2020-06-25,1086
2020-06-26,1104
2020-06-27,1111
2020-06-28,1121
2020-06-29,1128
2020-06-30,1132
2020-07-01,1133
2020-07-02,1136
2020-07-03,1147
2020-07-04,1150
2020-07-05,1164
2020-07-06,1167
2020-07-07,1169
2020-07-08,1169
2020-07-09,1169
2020-07-10,1173
2020-07-11,1176
2020-07-12,1179
2020-07-13,1183
2020-07-14,1198
2020-07-15,1201
2020-07-16,1206
2020-07-17,1209
2020-07-18,1214
2020-07-19,1218
2020-07-20,1223
2020-07-21,1113
2020-07-22,1120
2020-07-23,1131
2020-07-24,1146
2020-07-25,1154
2020-07-26,1168
2020-07-27,1176
2020-07-28,1182
2020-07-29,1187
2020-07-30,1191
2020-07-31,1193
2020-08-01,1208
2020-08-02,1213
2020-08-03,1218
2020-08-04,1224
2020-08-05,1231
2020-08-06,1232
2020-08-07,1237
2020-08-08,1246
2020-08-09,1252
2020-08-10,1268
2020-08-11,1283
2020-08-12,1303
2020-08-13,1320
2020-08-14,1329
