Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,4
2020-03-01,5
2020-03-02,5
2020-03-03,5
2020-03-04,5
2020-03-05,5
2020-03-06,6
2020-03-07,6
2020-03-08,7
2020-03-09,7
2020-03-10,7
2020-03-11,8
2020-03-12,12
2020-03-13,26
2020-03-14,41
2020-03-15,53
2020-03-16,82
2020-03-17,93
2020-03-18,118
2020-03-19,164
2020-03-20,203
2020-03-21,251
2020-03-22,316
2020-03-23,367
2020-03-24,405
2020-03-25,475
2020-03-26,585
2020-03-27,717
2020-03-28,848
2020-03-29,993
2020-03-30,1094
2020-03-31,1215
2020-04-01,1378
2020-04-02,1510
2020-04-03,1688
2020-04-04,1890
2020-04-05,2143
2020-04-06,2439
2020-04-07,2785
2020-04-08,3181
2020-04-09,3441
2020-04-10,3844
2020-04-11,4219
2020-04-12,4661
2020-04-13,5014
2020-04-14,5399
2020-04-15,5847
2020-04-16,6297
2020-04-17,6875
2020-04-18,7497
2020-04-19,8261
2020-04-20,8772
2020-04-21,9501
2020-04-22,10544
2020-04-23,11633
2020-04-24,12872
2020-04-25,13842
2020-04-26,14677
2020-04-27,15529
2020-04-28,16752
2020-04-29,17799
2020-04-30,19224
2020-05-01,20739
2020-05-02,22088
2020-05-03,23471
2020-05-04,24905
2020-05-05,26025
2020-05-06,27634
2020-05-07,29616
2020-05-08,31522
2020-05-09,33460
2020-05-10,35022
2020-05-11,36327
2020-05-12,38324
2020-05-13,40186
2020-05-14,42595
2020-05-15,45032
2020-05-16,47144
2020-05-17,49219
2020-05-18,51633
2020-05-19,54346
2020-05-20,56594
2020-05-21,59567
2020-05-22,62527
2020-05-23,65856
2020-05-24,68620
2020-05-25,71105
2020-05-26,74560
2020-05-27,78023
2020-05-28,81400
2020-05-29,84627
2020-05-30,87512
2020-05-31,90664
2020-06-01,93435
2020-06-02,97326
2020-06-03,101238
2020-06-04,105680
2020-06-05,110026
2020-06-06,113619
2020-06-07,117103
2020-06-08,120102
2020-06-09,124301
2020-06-10,129184
2020-06-11,133974
2020-06-12,139196
2020-06-13,142690
2020-06-14,146837
2020-06-15,150264
2020-06-16,154863
2020-06-17,159793
2020-06-18,165455
2020-06-19,170485
2020-06-20,175202
2020-06-21,180545
2020-06-22,185122
2020-06-23,191410
2020-06-24,196847
2020-06-25,202951
2020-06-26,208392
2020-06-27,212802
2020-06-28,216852
2020-06-29,220657
2020-06-30,226089
2020-07-01,231770
2020-07-02,238511
2020-07-03,245251
2020-07-04,252165
2020-07-05,256848
2020-07-06,261750
2020-07-07,268008
2020-07-08,275003
2020-07-09,282283
2020-07-10,289174
2020-07-11,295268
2020-07-12,299750
2020-07-13,304435
2020-07-14,311486
2020-07-15,317635
2020-07-16,324041
2020-07-17,331298
2020-07-18,338913
2020-07-19,344224
2020-07-20,349396
2020-07-21,356255
2020-07-22,362274
2020-07-23,370712
2020-07-24,378285
2020-07-25,385036
2020-07-26,390516
2020-07-27,395489
2020-07-28,402697
2020-07-29,408449
2020-07-30,416179
2020-07-31,424637
2020-08-01,434193
2020-08-02,439046
2020-08-03,443813
2020-08-04,449961
2020-08-05,456100
2020-08-06,462690
