Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,6
2020-03-01,10
2020-03-02,18
2020-03-03,24
2020-03-04,38
2020-03-05,82
2020-03-06,128
2020-03-07,188
2020-03-08,265
2020-03-09,321
2020-03-10,382
2020-03-11,503
2020-03-12,503
2020-03-13,806
2020-03-14,962
2020-03-15,1138
2020-03-16,1416
2020-03-17,1711
2020-03-18,2058
2020-03-19,2467
2020-03-20,3003
2020-03-21,3640
2020-03-22,4217
2020-03-23,4764
2020-03-24,5580
2020-03-25,6438
2020-03-26,7468
2020-03-27,8647
2020-03-28,9819
2020-03-29,10930
2020-03-30,11817
2020-03-31,12667
2020-04-01,13696
2020-04-02,14788
2020-04-03,15821
2020-04-04,16727
2020-04-05,17953
2020-04-06,18926
2020-04-07,19709
2020-04-08,20682
2020-04-09,21903
2020-04-10,23249
2020-04-11,24571
2020-04-12,25746
2020-04-13,26710
2020-04-14,27580
2020-04-15,28316
2020-04-16,29383
2020-04-17,30619
2020-04-18,31766
2020-04-19,32838
2020-04-20,33588
2020-04-21,34317
2020-04-22,35032
2020-04-23,35921
2020-04-24,36729
2020-04-25,37384
2020-04-26,38040
2020-04-27,38440
2020-04-28,38612
2020-04-29,38998
2020-04-30,39512
2020-05-01,39989
2020-05-02,40434
2020-05-03,40769
2020-05-04,40968
2020-05-05,41286
2020-05-06,41518
2020-05-07,41973
2020-05-08,42292
2020-05-09,42581
2020-05-10,42826
2020-05-11,42987
2020-05-12,43183
2020-05-13,43410
2020-05-14,43680
2020-05-15,43880
2020-05-16,44070
2020-05-17,44195
2020-05-18,44341
2020-05-19,44449
2020-05-20,44647
2020-05-21,44900
2020-05-22,45088
2020-05-23,45265
2020-05-24,45437
2020-05-25,45647
2020-05-26,45780
2020-05-27,45970
2020-05-28,46152
2020-05-29,46328
2020-05-30,46460
2020-05-31,46645
2020-06-01,46749
2020-06-02,46852
2020-06-03,46939
2020-06-04,47148
2020-06-05,47358
2020-06-06,47541
2020-06-07,47780
2020-06-08,47945
2020-06-09,48109
2020-06-10,48294
2020-06-11,48458
2020-06-12,48668
2020-06-13,48847
2020-06-14,48990
2020-06-15,49155
2020-06-16,49295
2020-06-17,49412
2020-06-18,49527
2020-06-19,49634
2020-06-20,49710
2020-06-21,49801
2020-06-22,49866
2020-06-23,49930
2020-06-24,50012
2020-06-25,50122
2020-06-26,50213
2020-06-27,50282
2020-06-28,50355
2020-06-29,50433
2020-06-30,50483
2020-07-01,50545
2020-07-02,50623
2020-07-03,50698
2020-07-04,50761
2020-07-05,50834
2020-07-06,50870
2020-07-07,50907
2020-07-08,50959
2020-07-09,51013
2020-07-10,51055
2020-07-11,51136
2020-07-12,51237
2020-07-13,51308
2020-07-14,51362
2020-07-15,51471
2020-07-16,51572
2020-07-17,51682
2020-07-18,51809
2020-07-19,51955
2020-07-20,52142
2020-07-21,52307
2020-07-22,52475
2020-07-23,52640
2020-07-24,52837
2020-07-25,52984
2020-07-26,53278
2020-07-27,53424
2020-07-28,53647
2020-07-29,53895
2020-07-30,54249
2020-07-31,54590
2020-08-01,55021
2020-08-02,55408
2020-08-03,55786
2020-08-04,56279
