Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,2
2020-03-03,2
2020-03-04,5
2020-03-05,8
2020-03-06,13
2020-03-07,20
2020-03-08,30
2020-03-09,30
2020-03-10,41
2020-03-11,59
2020-03-12,59
2020-03-13,112
2020-03-14,169
2020-03-15,245
2020-03-16,331
2020-03-17,448
2020-03-18,448
2020-03-19,785
2020-03-20,1020
2020-03-21,1280
2020-03-22,1600
2020-03-23,2060
2020-03-24,2362
2020-03-25,2995
2020-03-26,3544
2020-03-27,4268
2020-03-28,5170
2020-03-29,5962
2020-03-30,6408
2020-03-31,7443
2020-04-01,8251
2020-04-02,9034
2020-04-03,9886
2020-04-04,10524
2020-04-05,11278
2020-04-06,11730
2020-04-07,12442
2020-04-08,13141
2020-04-09,13956
2020-04-10,15472
2020-04-11,15987
2020-04-12,16585
2020-04-13,16934
2020-04-14,17448
2020-04-15,18091
2020-04-16,18841
2020-04-17,19022
2020-04-18,19685
2020-04-19,20206
2020-04-20,20863
2020-04-21,21379
2020-04-22,21982
2020-04-23,22353
2020-04-24,22797
2020-04-25,23392
2020-04-26,23864
2020-04-27,24027
2020-04-28,24322
2020-04-29,24505
2020-04-30,25045
2020-05-01,25351
2020-05-02,25190
2020-05-03,25282
2020-05-04,25524
2020-05-05,25702
2020-05-06,26182
2020-05-07,26715
2020-05-08,27268
2020-05-09,27406
2020-05-10,27581
2020-05-11,27679
2020-05-12,27913
2020-05-13,28132
2020-05-14,28319
2020-05-15,28583
2020-05-16,28810
2020-05-17,29036
2020-05-18,29209
2020-05-19,29432
2020-05-20,29660
2020-05-21,29912
2020-05-22,30200
2020-05-23,30471
2020-05-24,30623
2020-05-25,30788
2020-05-26,31007
2020-05-27,31292
2020-05-28,31596
2020-05-29,31946
2020-05-30,32203
2020-05-31,32500
2020-06-01,32700
2020-06-02,32895
2020-06-03,33261
2020-06-04,33592
2020-06-05,33969
2020-06-06,34351
2020-06-07,34693
2020-06-08,34885
2020-06-09,35306
2020-06-10,35600
2020-06-11,35910
2020-06-12,36180
2020-06-13,36463
2020-06-14,36690
2020-06-15,37036
2020-06-16,37336
2020-06-17,37672
2020-06-18,38089
2020-06-19,38464
2020-06-20,38841
2020-06-21,39133
2020-06-22,39392
2020-06-23,39737
2020-06-24,40104
2020-06-25,40415
2020-06-26,40866
2020-06-27,41189
2020-06-28,41646
2020-06-29,41912
2020-06-30,42141
2020-07-01,42454
2020-07-02,42782
2020-07-03,43156
2020-07-04,43569
2020-07-05,43897
2020-07-06,44129
2020-07-07,44416
2020-07-08,44859
2020-07-09,45277
2020-07-10,45679
2020-07-11,46221
2020-07-12,46512
2020-07-13,46818
2020-07-14,47051
2020-07-15,47426
2020-07-16,47765
2020-07-17,48077
2020-07-18,48390
2020-07-19,48636
2020-07-20,48771
2020-07-21,48898
2020-07-22,49150
2020-07-23,49379
2020-07-24,49692
2020-07-25,49955
2020-07-26,50164
2020-07-27,50299
2020-07-28,50410
2020-07-29,50613
2020-07-30,50868
2020-07-31,51072
2020-08-01,51310
2020-08-02,51463
2020-08-03,51569
2020-08-04,51681
2020-08-05,51848
