Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,5
2020-03-06,5
2020-03-07,5
2020-03-08,11
2020-03-09,15
2020-03-10,20
2020-03-11,21
2020-03-12,45
2020-03-13,86
2020-03-14,103
2020-03-15,103
2020-03-16,118
2020-03-17,171
2020-03-18,171
2020-03-19,274
2020-03-20,344
2020-03-21,392
2020-03-22,511
2020-03-23,562
2020-03-24,767
2020-03-25,900
2020-03-26,1012
2020-03-27,1104
2020-03-28,1203
2020-03-29,1299
2020-03-30,1453
2020-03-31,1563
2020-04-01,1720
2020-04-02,1885
2020-04-03,2039
2020-04-04,2179
2020-04-05,2402
2020-04-06,2605
2020-04-07,2795
2020-04-08,2932
2020-04-09,3287
2020-04-10,3651
2020-04-11,4033
2020-04-12,4462
2020-04-13,4934
2020-04-14,5369
2020-04-15,5862
2020-04-16,6380
2020-04-17,7142
2020-04-18,8274
2020-04-19,9362
2020-04-20,10484
2020-04-21,11631
2020-04-22,12772
2020-04-23,13930
2020-04-24,15102
2020-04-25,16299
2020-04-26,17522
2020-04-27,18811
2020-04-28,20077
2020-04-29,21402
2020-04-30,22753
2020-05-01,24097
2020-05-02,25459
2020-05-03,27011
2020-05-04,28656
2020-05-05,30251
2020-05-06,31938
2020-05-07,33731
2020-05-08,35432
2020-05-09,37136
2020-05-10,39048
2020-05-11,41014
2020-05-12,42925
2020-05-13,44830
2020-05-14,46869
2020-05-15,49176
2020-05-16,52016
2020-05-17,54752
2020-05-18,57345
2020-05-19,59854
2020-05-20,62545
2020-05-21,65077
2020-05-22,67719
2020-05-23,70161
2020-05-24,72560
2020-05-25,74795
2020-05-26,76726
2020-05-27,78541
2020-05-28,80185
2020-05-29,81766
2020-05-30,83384
2020-05-31,85261
2020-06-01,87142
2020-06-02,89011
2020-06-03,91182
2020-06-04,93157
2020-06-05,95748
2020-06-06,98869
2020-06-07,101914
2020-06-08,105283
2020-06-09,108571
2020-06-10,112288
2020-06-11,116021
2020-06-12,119942
2020-06-13,123308
2020-06-14,127541
2020-06-15,132048
2020-06-16,136315
2020-06-17,141234
2020-06-18,145991
2020-06-19,150292
2020-06-20,154233
2020-06-21,157612
2020-06-22,161005
2020-06-23,164144
2020-06-24,167267
2020-06-25,170639
2020-06-26,174577
2020-06-27,178504
2020-06-28,182493
2020-06-29,186436
2020-06-30,190823
2020-07-01,194225
2020-07-02,197608
2020-07-03,201801
2020-07-04,205929
2020-07-05,209509
2020-07-06,213716
2020-07-07,217108
2020-07-08,220144
2020-07-09,223327
2020-07-10,226486
2020-07-11,229480
2020-07-12,232259
2020-07-13,235111
2020-07-14,237803
2020-07-15,240474
2020-07-16,243238
2020-07-17,245851
2020-07-18,248416
2020-07-19,250920
2020-07-20,253349
2020-07-21,255825
2020-07-22,258156
2020-07-23,260394
2020-07-24,262772
2020-07-25,264973
2020-07-26,266941
2020-07-27,268934
2020-07-28,270831
2020-07-29,272590
2020-07-30,274219
2020-07-31,275905
2020-08-01,277478
2020-08-02,278835
2020-08-03,280093
2020-08-04,281456
2020-08-05,282824
