Date,Cases
2020-01-22,0
2020-01-23,1
2020-01-24,3
2020-01-25,3
2020-01-26,4
2020-01-27,5
2020-01-28,7
2020-01-29,7
2020-01-30,10
2020-01-31,13
2020-02-01,16
2020-02-02,18
2020-02-03,18
2020-02-04,24
2020-02-05,28
2020-02-06,28
2020-02-07,30
2020-02-08,33
2020-02-09,40
2020-02-10,45
2020-02-11,47
2020-02-12,50
2020-02-13,58
2020-02-14,67
2020-02-15,72
2020-02-16,75
2020-02-17,77
2020-02-18,81
2020-02-19,84
2020-02-20,84
2020-02-21,85
2020-02-22,85
2020-02-23,89
2020-02-24,89
2020-02-25,91
2020-02-26,93
2020-02-27,93
2020-02-28,93
2020-02-29,102
2020-03-01,106
2020-03-02,108
2020-03-03,110
2020-03-04,110
2020-03-05,117
2020-03-06,130
2020-03-07,138
2020-03-08,150
2020-03-09,150
2020-03-10,160
2020-03-11,178
2020-03-12,178
2020-03-13,200
2020-03-14,212
2020-03-15,226
2020-03-16,243
2020-03-17,266
2020-03-18,313
2020-03-19,345
2020-03-20,385
2020-03-21,432
2020-03-22,455
2020-03-23,509
2020-03-24,558
2020-03-25,631
2020-03-26,683
2020-03-27,732
2020-03-28,802
2020-03-29,844
2020-03-30,879
2020-03-31,926
2020-04-01,1000
2020-04-02,1049
2020-04-03,1114
2020-04-04,1189
2020-04-05,1309
2020-04-06,1375
2020-04-07,1481
2020-04-08,1623
2020-04-09,1910
2020-04-10,2108
2020-04-11,2299
2020-04-12,2532
2020-04-13,2918
2020-04-14,3252
2020-04-15,3699
2020-04-16,4427
2020-04-17,5050
2020-04-18,5992
2020-04-19,6588
2020-04-20,8014
2020-04-21,9125
2020-04-22,10141
2020-04-23,11178
2020-04-24,12075
2020-04-25,12693
2020-04-26,13624
2020-04-27,14423
2020-04-28,14951
2020-04-29,15641
2020-04-30,16169
2020-05-01,17101
2020-05-02,17548
2020-05-03,18205
2020-05-04,18778
2020-05-05,19410
2020-05-06,20198
2020-05-07,20939
2020-05-08,21707
2020-05-09,22460
2020-05-10,23336
2020-05-11,23822
2020-05-12,24671
2020-05-13,25346
2020-05-14,26098
2020-05-15,26891
2020-05-16,27356
2020-05-17,28038
2020-05-18,28343
2020-05-19,28794
2020-05-20,29364
2020-05-21,29812
2020-05-22,30426
2020-05-23,31068
2020-05-24,31616
2020-05-25,31960
2020-05-26,32343
2020-05-27,32876
2020-05-28,33249
2020-05-29,33860
2020-05-30,34366
2020-05-31,34884
2020-06-01,35292
2020-06-02,35836
2020-06-03,36405
2020-06-04,36922
2020-06-05,37183
2020-06-06,37527
2020-06-07,37910
2020-06-08,38296
2020-06-09,38514
2020-06-10,38965
2020-06-11,39387
2020-06-12,39850
2020-06-13,40197
2020-06-14,40604
2020-06-15,40818
2020-06-16,40969
2020-06-17,41216
2020-06-18,41473
2020-06-19,41615
2020-06-20,41833
2020-06-21,42095
2020-06-22,42313
2020-06-23,42432
2020-06-24,42623
2020-06-25,42736
2020-06-26,42955
2020-06-27,43246
2020-06-28,43459
2020-06-29,43661
2020-06-30,43907
2020-07-01,44122
2020-07-02,44310
2020-07-03,44479
2020-07-04,44664
2020-07-05,44800
2020-07-06,44983
2020-07-07,45140
2020-07-08,45298
2020-07-09,45423
2020-07-10,45614
2020-07-11,45783
2020-07-12,45961
2020-07-13,46283
2020-07-14,46630
2020-07-15,46878
2020-07-16,47126
2020-07-17,47453
2020-07-18,47655
2020-07-19,47912
2020-07-20,48035
2020-07-21,48434
2020-07-22,48744
2020-07-23,49098
2020-07-24,49375
2020-07-25,49888
2020-07-26,50369
2020-07-27,50838
2020-07-28,51197
2020-07-29,51531
2020-07-30,51809
2020-07-31,52205
2020-08-01,52512
2020-08-02,52825
2020-08-03,53051
2020-08-04,53346
2020-08-05,54254
2020-08-06,54555
2020-08-07,54797
2020-08-08,54929
2020-08-09,55104
2020-08-10,55292
2020-08-11,55353
2020-08-12,55395
2020-08-13,55497
2020-08-14,55580
2020-08-15,55661
2020-08-16,55747
2020-08-17,55838
2020-08-18,55938
2020-08-19,56031
2020-08-20,56099
2020-08-21,56216
2020-08-22,56266
2020-08-23,56353
2020-08-24,56404
2020-08-25,56435
2020-08-26,56495
2020-08-27,56572
2020-08-28,56666
2020-08-29,56717
2020-08-30,56771
2020-08-31,56812
2020-09-01,56852
2020-09-02,56860
2020-09-03,56908
2020-09-04,56948
2020-09-05,56982
2020-09-06,57022
2020-09-07,57044
2020-09-08,57091
2020-09-09,57166
2020-09-10,57229
2020-09-11,57315
2020-09-12,57357
2020-09-13,57406
2020-09-14,57454
2020-09-15,57488
2020-09-16,57514
2020-09-17,57532
2020-09-18,57543
2020-09-19,57558
2020-09-20,57576
2020-09-21,57606
2020-09-22,57627
2020-09-23,57639
2020-09-24,57654
2020-09-25,57665
2020-09-26,57685
2020-09-27,57700
2020-09-28,57715
2020-09-29,57742
2020-09-30,57765
2020-10-01,57784
2020-10-02,57794
2020-10-03,57800
2020-10-04,57812
2020-10-05,57819
2020-10-06,57830
2020-10-07,57840
2020-10-08,57849
2020-10-09,57859
2020-10-10,57866
2020-10-11,57876
2020-10-12,57880
2020-10-13,57884
2020-10-14,57889
2020-10-15,57892
2020-10-16,57901
2020-10-17,57904
2020-10-18,57911
2020-10-19,57915
2020-10-20,57921
2020-10-21,57933
2020-10-22,57941
2020-10-23,57951
2020-10-24,57965
2020-10-25,57970
2020-10-26,57973
2020-10-27,57980
2020-10-28,57987
2020-10-29,57994
2020-10-30,58003
2020-10-31,58015
2020-11-01,58019
2020-11-02,58020
2020-11-03,58029
2020-11-04,58036
2020-11-05,58043
2020-11-06,58047
2020-11-07,58054
2020-11-08,58056
2020-11-09,58064
2020-11-10,58073
2020-11-11,58091
2020-11-12,58102
2020-11-13,58114
2020-11-14,58116
2020-11-15,58119
2020-11-16,58124
2020-11-17,58130
2020-11-18,58135
2020-11-19,58139
2020-11-20,58143
2020-11-21,58148
2020-11-22,58160
2020-11-23,58165
2020-11-24,58183
2020-11-25,58190
2020-11-26,58195
2020-11-27,58199
2020-11-28,58205
2020-11-29,58213
2020-11-30,58218
2020-12-01,58228
2020-12-02,58230
2020-12-03,58239
2020-12-04,58242
2020-12-05,58255
2020-12-06,58260
2020-12-07,58273
2020-12-08,58285
2020-12-09,58291
2020-12-10,58297
2020-12-11,58305
2020-12-12,58313
2020-12-13,58320
2020-12-14,58325
2020-12-15,58341
2020-12-16,58353
2020-12-17,58377
2020-12-18,58386
2020-12-19,58403
2020-12-20,58422
2020-12-21,58432
2020-12-22,58461
2020-12-23,58482
2020-12-24,58495
2020-12-25,58509
2020-12-26,58519
2020-12-27,58524
2020-12-28,58529
2020-12-29,58542
2020-12-30,58569
2020-12-31,58599
2021-01-01,58629
