Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,3
2020-02-28,11
2020-02-29,14
2020-03-01,14
2020-03-02,19
2020-03-03,32
2020-03-04,62
2020-03-05,87
2020-03-06,146
2020-03-07,179
2020-03-08,225
2020-03-09,326
2020-03-10,424
2020-03-11,620
2020-03-12,771
2020-03-13,923
2020-03-14,994
2020-03-15,1063
2020-03-16,1146
2020-03-17,1265
2020-03-18,1410
2020-03-19,1553
2020-03-20,1733
2020-03-21,1868
2020-03-22,1986
2020-03-23,2168
2020-03-24,2398
2020-03-25,2712
2020-03-26,2998
2020-03-27,3363
2020-03-28,3663
2020-03-29,3943
2020-03-30,4359
2020-03-31,4834
2020-04-01,5320
2020-04-02,5874
2020-04-03,6475
2020-04-04,6832
2020-04-05,7172
2020-04-06,7561
2020-04-07,8299
2020-04-08,8954
2020-04-09,9599
2020-04-10,10053
2020-04-11,10448
2020-04-12,10912
2020-04-13,11349
2020-04-14,11828
2020-04-15,12432
2020-04-16,13055
2020-04-17,13743
2020-04-18,14275
2020-04-19,14663
2020-04-20,15124
2020-04-21,15831
2020-04-22,16553
2020-04-23,17311
2020-04-24,18090
2020-04-25,18563
2020-04-26,18863
2020-04-27,19426
2020-04-28,20168
2020-04-29,20966
2020-04-30,21601
2020-05-01,22133
2020-05-02,22432
2020-05-03,22693
2020-05-04,23169
2020-05-05,23826
2020-05-06,24572
2020-05-07,25359
2020-05-08,26059
2020-05-09,26568
2020-05-10,26846
2020-05-11,27301
2020-05-12,28055
2020-05-13,28755
2020-05-14,29415
2020-05-15,30103
2020-05-16,30461
2020-05-17,30720
2020-05-18,31151
2020-05-19,31818
2020-05-20,32626
2020-05-21,33236
2020-05-22,33768
2020-05-23,34171
2020-05-24,34381
2020-05-25,34871
2020-05-26,35617
2020-05-27,36417
2020-05-28,37191
2020-05-29,37964
2020-05-30,38396
2020-05-31,38661
2020-06-01,39309
2020-06-02,40210
2020-06-03,41256
2020-06-04,42295
2020-06-05,43441
2020-06-06,44224
2020-06-07,44686
2020-06-08,45363
2020-06-09,46299
2020-06-10,47736
2020-06-11,49030
2020-06-12,50367
2020-06-13,51409
2020-06-14,51827
2020-06-15,52511
2020-06-16,53729
2020-06-17,55186
2020-06-18,56682
2020-06-19,57895
2020-06-20,58597
2020-06-21,58918
2020-06-22,59718
2020-06-23,61030
2020-06-24,62728
2020-06-25,64009
2020-06-26,65212
2020-06-27,65972
2020-06-28,66392
2020-06-29,67119
2020-06-30,67924
2020-07-01,68608
2020-07-02,69297
2020-07-03,69996
2020-07-04,70366
2020-07-05,70681
2020-07-06,70932
2020-07-07,71210
2020-07-08,71747
2020-07-09,72082
2020-07-10,72459
2020-07-11,72773
2020-07-12,72879
2020-07-13,73049
2020-07-14,73364
2020-07-15,73663
2020-07-16,73936
2020-07-17,74235
2020-07-18,74435
2020-07-19,74545
2020-07-20,74676
2020-07-21,74902
2020-07-22,75199
2020-07-23,75419
2020-07-24,75681
2020-07-25,75819
2020-07-26,75861
2020-07-27,75932
2020-07-28,76215
2020-07-29,76516
2020-07-30,76818
2020-07-31,77076
2020-08-01,77379
2020-08-02,77417
2020-08-03,77582
2020-08-04,77916
