Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,3
2020-03-14,3
2020-03-15,3
2020-03-16,7
2020-03-17,14
2020-03-18,14
2020-03-19,16
2020-03-20,29
2020-03-21,47
2020-03-22,73
2020-03-23,73
2020-03-24,97
2020-03-25,145
2020-03-26,196
2020-03-27,310
2020-03-28,356
2020-03-29,475
2020-03-30,548
2020-03-31,645
2020-04-01,794
2020-04-02,897
2020-04-03,1072
2020-04-04,1225
2020-04-05,1308
2020-04-06,1319
2020-04-07,1462
2020-04-08,1668
2020-04-09,1892
2020-04-10,2203
2020-04-11,2511
2020-04-12,2777
2020-04-13,3102
2020-04-14,3372
2020-04-15,3764
2020-04-16,4161
2020-04-17,4662
2020-04-18,5106
2020-04-19,5449
2020-04-20,5710
2020-04-21,6125
2020-04-22,6592
2020-04-23,7170
2020-04-24,7647
2020-04-25,8125
2020-04-26,8617
2020-04-27,9009
2020-04-28,9410
2020-04-29,9866
2020-04-30,10406
2020-05-01,10861
2020-05-02,11411
2020-05-03,11913
2020-05-04,12331
2020-05-05,12697
2020-05-06,13184
2020-05-07,13691
2020-05-08,14195
2020-05-09,14710
2020-05-10,15232
2020-05-11,15648
2020-05-12,16023
2020-05-13,16425
2020-05-14,16847
2020-05-15,17330
2020-05-16,17858
2020-05-17,18291
2020-05-18,18616
2020-05-19,18876
2020-05-20,19230
2020-05-21,19706
2020-05-22,20148
2020-05-23,20580
2020-05-24,20986
2020-05-25,21245
2020-05-26,21584
2020-05-27,21905
2020-05-28,22382
2020-05-29,22811
2020-05-30,23204
2020-05-31,23672
2020-06-01,24562
2020-06-02,24895
2020-06-03,25385
2020-06-04,25981
2020-06-05,26542
2020-06-06,27101
2020-06-07,27599
2020-06-08,28077
2020-06-09,28479
2020-06-10,29015
2020-06-11,29706
2020-06-12,30415
2020-06-13,31177
2020-06-14,31851
2020-06-15,32536
2020-06-16,33209
2020-06-17,33986
2020-06-18,34833
2020-06-19,35755
2020-06-20,36615
2020-06-21,37361
2020-06-22,38056
2020-06-23,38901
2020-06-24,39852
2020-06-25,40854
2020-06-26,41975
2020-06-27,42932
2020-06-28,43856
2020-06-29,44538
2020-06-30,45254
2020-07-01,45924
2020-07-02,46821
2020-07-03,47705
2020-07-04,48628
2020-07-05,49468
2020-07-06,50053
2020-07-07,50622
2020-07-08,51457
2020-07-09,52285
2020-07-10,53116
2020-07-11,53941
2020-07-12,54647
2020-07-13,55285
2020-07-14,55931
2020-07-15,56779
2020-07-16,57640
2020-07-17,58466
2020-07-18,59333
2020-07-19,60077
2020-07-20,60767
2020-07-21,61454
2020-07-22,62295
2020-07-23,63169
2020-07-24,64173
2020-07-25,65317
2020-07-26,66261
2020-07-27,67096
2020-07-28,68030
2020-07-29,69078
2020-07-30,70300
2020-07-31,71404
2020-08-01,72609
2020-08-02,73761
2020-08-03,74781
2020-08-04,75880
2020-08-05,77169
2020-08-06,78515
