x,y
1.0,229029
2.0,191112
3.0,155935
4.0,123386
5.0,93354
6.0,65730
7.0,40409
8.0,17288
9.0,-3732
10.0,-22749
11.0,-39858
12.0,-55151
13.0,-68718
14.0,-80646
15.0,-91019
16.0,-99921
17.0,-107432
18.0,-113629
19.0,-118587
20.0,-122380
21.0,-125079
22.0,-126752
23.0,-127466
24.0,-127286
25.0,-126274
26.0,-124490
27.0,-121992
28.0,-118838
29.0,-115080
30.0,-110772
31.0,-105963
32.0,-100703
33.0,-95039
34.0,-89014
35.0,-82673
36.0,-76057
37.0,-69205
38.0,-62155
39.0,-54945
40.0,-47608
41.0,-40178
42.0,-32686
43.0,-25163
44.0,-17636
45.0,-10133
46.0,-2680
47.0,4699
48.0,11982
49.0,19147
50.0,26174
51.0,33044
52.0,39740
53.0,46246
54.0,52546
55.0,58627
56.0,64476
57.0,70082
58.0,75434
59.0,80523
60.0,85341
61.0,89881
62.0,94137
63.0,98104
64.0,101776
65.0,105153
66.0,108230
67.0,111007
68.0,113483
69.0,115659
70.0,117536
71.0,119115
72.0,120400
73.0,121394
74.0,122102
75.0,122528
76.0,122678
77.0,122558
78.0,122176
79.0,121539
80.0,120655
81.0,119534
82.0,118183
83.0,116615
84.0,114838
85.0,112864
86.0,110704
87.0,108370
88.0,105875
89.0,103230
90.0,100451
91.0,97549
92.0,94538
93.0,91434
94.0,88250
95.0,85002
96.0,81704
97.0,78373
98.0,75023
99.0,71671
100.0,68332
101.0,65024
102.0,61763
103.0,58565
104.0,55447
105.0,52427
106.0,49522
107.0,46748
108.0,44123
109.0,41665
110.0,39390
111.0,37318
112.0,35464
113.0,33847
114.0,32484
115.0,31393
116.0,30591
117.0,30097
118.0,29926
119.0,30097
120.0,30627
121.0,31534
122.0,32834
123.0,34544
124.0,36681
125.0,39262
126.0,42304
127.0,45823
128.0,49835
129.0,54357
130.0,59403
131.0,64991
132.0,71135
133.0,77850
134.0,85153
135.0,93056
136.0,101576
137.0,110725
138.0,120519
139.0,130970
140.0,142093
141.0,153899
142.0,166403
143.0,179616
144.0,193551
145.0,208220
146.0,223633
147.0,239803
148.0,256739
149.0,274453
150.0,292954
151.0,312253
152.0,332357
153.0,353277
154.0,375021
155.0,397597
156.0,421013
157.0,445276
158.0,470393
159.0,496370
160.0,523214
161.0,550931
162.0,579525
163.0,609002
164.0,639365
165.0,670620
166.0,702768
167.0,735814
168.0,769760
169.0,804608
170.0,840360
171.0,877018
172.0,914581
173.0,953051
174.0,992426
175.0,1032708
176.0,1073894
177.0,1115983
178.0,1158974
179.0,1202864
180.0,1247649
181.0,1293327
182.0,1339894
183.0,1387346
184.0,1435678
185.0,1484884
186.0,1534960
187.0,1585899
188.0,1637694
189.0,1690339
190.0,1743825
191.0,1798147
192.0,1853293
193.0,1909257
194.0,1966029
195.0,2023600
196.0,2081958
197.0,2141094
198.0,2200996
199.0,2261654
200.0,2323055
201.0,2385187
202.0,2448038
203.0,2511595
204.0,2575843
205.0,2640770
206.0,2706361
207.0,2772602
208.0,2839477
209.0,2906971
210.0,2975068
211.0,3043753
212.0,3113009
213.0,3182818
214.0,3253165
215.0,3324031
216.0,3395398
217.0,3467250
218.0,3539566
219.0,3612329
220.0,3685519
221.0,3759117
222.0,3833104
223.0,3907459
224.0,3982163
225.0,4057195
226.0,4132535
227.0,4208162
228.0,4284054
229.0,4360191
230.0,4436551
231.0,4513113
232.0,4589854
233.0,4666753
234.0,4743787
235.0,4820935
236.0,4898173
237.0,4975480
238.0,5052833
239.0,5130208
240.0,5207584
241.0,5284937
242.0,5362244
243.0,5439483
244.0,5516631
245.0,5593663
246.0,5670559
247.0,5747293
248.0,5823844
249.0,5900188
250.0,5976303
251.0,6052166
252.0,6127754
253.0,6203044
254.0,6278014
255.0,6352641
256.0,6426904
257.0,6500780
258.0,6574248
259.0,6647285
260.0,6719870
261.0,6791983
262.0,6863601
263.0,6934704
264.0,7005273
265.0,7075286
266.0,7144724
267.0,7213567
268.0,7281797
269.0,7349394
270.0,7416340
271.0,7482618
272.0,7548209
273.0,7613098
274.0,7677266
275.0,7740698
276.0,7803379
277.0,7865293
278.0,7926426
279.0,7986765
280.0,8046295
281.0,8105004
282.0,8162880
283.0,8219912
284.0,8276089
285.0,8331400
286.0,8385837
287.0,8439392
288.0,8492056
289.0,8543822
290.0,8594684
291.0,8644638
292.0,8693678
293.0,8741801
294.0,8789004
295.0,8835286
296.0,8880646
297.0,8925085
298.0,8968602
299.0,9011202
300.0,9052887
301.0,9093661
302.0,9133531
303.0,9172503
304.0,9210584
305.0,9247785
306.0,9284115
307.0,9319585
308.0,9354209
309.0,9388001
310.0,9420976
311.0,9453151
312.0,9484544
313.0,9515174
314.0,9545064
315.0,9574235
316.0,9602711
317.0,9630518
318.0,9657682
319.0,9684234
320.0,9710202
321.0,9735619
322.0,9760518
323.0,9784935
324.0,9808907
325.0,9832472
326.0,9855671
327.0,9878547
328.0,9901144
329.0,9923508
330.0,9945687
331.0,9967731
332.0,9989692
333.0,10011625
334.0,10033585
335.0,10055631
336.0,10077822
337.0,10100222
338.0,10122895
339.0,10145908
340.0,10169330
341.0,10193232
342.0,10217689
343.0,10242775
344.0,10268571
345.0,10295156
346.0,10322613
347.0,10351030
348.0,10380493
349.0,10411095
350.0,10442928
351.0,10476089
352.0,10510676
353.0,10546792
354.0,10584539
355.0,10624027
356.0,10665364
357.0,10708663
358.0,10754040
359.0,10801613
360.0,10851504
361.0,10903838
362.0,10958742
363.0,11016347
364.0,11076787
365.0,11140198
366.0,11206722
367.0,11276501
368.0,11349682
369.0,11426415
370.0,11506854
