x,y
2020-01-22,229029.0687154808
2020-01-23,191217.66676904884
2020-01-24,156131.66135535407
2020-01-25,123658.40162952934
2020-01-26,93688.00328725707
2020-01-27,66113.31198381272
2020-01-28,40829.86696189063
2020-01-29,17735.864888213517
2020-01-30,-3267.876101075206
2020-01-31,-22277.952146235853
2020-02-01,-39388.409200974216
2020-02-02,-54690.77836069971
2020-02-03,-68274.1109820006
2020-02-04,-80225.0135933361
2020-02-05,-90627.68259694573
2020-02-06,-99563.93876197515
2020-02-07,-107113.26150881907
2020-02-08,-113352.82298468088
2020-02-09,-118357.52193034953
2020-02-10,-122200.01733819343
2020-02-11,-124950.76190137042
2020-02-12,-126678.03525425534
2020-02-13,-127447.97700408503
2020-02-14,-127324.61955381837
2020-02-15,-126369.92071621597
2020-02-16,-124643.79611913365
2020-02-17,-122204.15140203555
2020-02-18,-119106.91420372273
2020-02-19,-115406.06594127859
2020-02-20,-111153.6733802323
2020-02-21,-106399.91999593755
2020-02-22,-101193.13712616975
2020-02-23,-95579.83491493913
2020-02-24,-89604.73304752144
2020-02-25,-83310.79127670452
2020-02-26,-76739.23974025314
2020-02-27,-69929.6090695897
2020-02-28,-62919.760289692786
2020-02-29,-55745.91451021086
2020-03-01,-48442.68240779475
2020-03-02,-41043.09349964699
2020-03-03,-33578.62520828628
2020-03-04,-26079.231717531162
2020-03-05,-18573.372619698057
2020-03-06,-11088.041354018613
2020-03-07,-3648.7934362725937
2020-03-08,3720.2255203613313
2020-03-09,10996.251993239333
2020-03-10,18157.87694696916
2020-03-11,25185.0184389067
2020-03-12,32058.894433440786
2020-03-13,38761.99582505785
2020-03-14,45278.059670188086
2020-03-15,51592.042627841205
2020-03-16,57690.09460901641
2020-03-17,63559.532634905336
2020-03-18,69188.81490386676
2020-03-19,74567.51506719427
2020-03-20,79686.29671366359
2020-03-21,84536.8880628598
2020-03-22,89112.05686729352
2020-03-23,93405.58552329501
2020-03-24,97412.24639069449
2020-03-25,101127.77732128222
2020-03-26,104548.85739606057
2020-03-27,107673.08287126402
2020-03-28,110498.94333317515
2020-03-29,113025.79806172187
2020-03-30,115253.85260285033
2020-03-31,117184.13554968839
2020-04-01,118818.47553248823
2020-04-02,120159.47841735702
2020-04-03,121210.50471376444
2020-04-04,121975.64719083422
2020-04-05,122459.70870242506
2020-04-06,122668.1802209852
2020-04-07,122607.219080199
2020-04-08,122283.62742641219
2020-04-09,121704.83087883735
2020-04-10,120878.85739854866
2020-04-11,119814.3163662575
2020-04-12,118520.3778688678
2020-04-13,117006.75219481712
2020-04-14,115283.66953820942
2020-04-15,113361.8599117063
2020-04-16,111252.53326823065
2020-04-17,108967.35983143479
2020-04-18,106518.45063496425
2020-04-19,103918.33827047836
2020-04-20,101179.9578445
2020-04-21,98316.6281440004
2020-04-22,95342.03301079592
2020-04-23,92270.20292471949
2020-04-24,89115.49679557467
2020-04-25,85892.58396388122
2020-04-26,82616.42641038395
2020-04-27,79302.26117436236
2020-04-28,75965.58298072108
2020-04-29,72622.12707586435
2020-04-30,69287.8522723348
2020-05-01,65978.92420226237
2020-05-02,62711.69877958528
2020-05-03,59502.70587104495
2020-05-04,56368.63317597509
2020-05-05,53326.31031487556
2020-05-06,50392.69312675545
2020-05-07,47584.848175279476
2020-05-08,44919.937463681796
2020-05-09,42415.20335845684
2020-05-10,40087.953721859434
2020-05-11,37955.5472531713
2020-05-12,36035.379038743355
2020-05-13,34344.86631082691
2020-05-14,32901.43441520308
2020-05-15,31722.502987578104
2020-05-16,30825.47233877011
2020-05-17,30227.710048661218
2020-05-18,29946.53776895613
2020-05-19,29999.218234714586
2020-05-20,30402.94248467576
2020-05-21,31174.81729034602
2020-05-22,32331.85279387352
