Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,140886773,1804.780505,5315864,68.09700806,776505,3012251,38.58738309,82406,1.05563311,11210,
United States of America,Americas,31311941,9459.73,471530,142.46,61306,561616,169.67,5091,1.54,758,Community transmission
India,South-East Asia,15061919,1091.44,1534202,111.17,273810,178769,12.95,8590,0.62,1619,Clusters of cases
Brazil,Americas,13900091,6539.39,455085,214.1,67636,371678,174.86,20344,9.57,2929,Community transmission
France,Europe,5178513,7962.12,233275,358.67,34218,99921,153.63,1965,3.02,177,Community transmission
Russian Federation,Europe,4702101,3222.06,60711,41.6,8632,105582,72.35,2596,1.78,389,Clusters of cases
The United Kingdom,Europe,4385942,6460.75,17893,26.36,2206,127260,187.46,180,0.27,35,Community transmission
Turkey,Europe,4212645,4994.89,414312,491.25,62606,35608,42.22,1906,2.26,288,Community transmission
Italy,Europe,3857443,6467.72,103366,173.31,15364,116676,195.63,2753,4.62,310,Clusters of cases
Spain,Europe,3396685,7176.2,31084,65.67,0,76882,162.43,176,0.37,0,Community transmission
Germany,Europe,3142262,3778.27,143994,173.14,19185,79914,96.09,1561,1.88,67,Community transmission
Poland,Europe,2688025,7081.55,113394,298.73,12151,62032,163.42,3611,9.51,207,Community transmission
Argentina,Americas,2677747,5924.77,160447,355,19119,59164,130.91,1517,3.36,80,Community transmission
Colombia,Americas,2636076,5180.67,117361,230.65,16654,67931,133.5,2323,4.57,367,Community transmission
Mexico,Americas,2304906,1787.68,26486,20.54,4967,212228,164.6,3016,2.34,535,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2237089,2663.42,166948,198.76,21644,66732,79.45,2242,2.67,405,Community transmission
Ukraine,Europe,1946510,4450.82,93261,213.25,10282,39786,90.97,2772,6.34,250,Community transmission
Peru,Americas,1697626,5148.71,57859,175.48,8575,56797,172.26,2128,6.45,343,Community transmission
Indonesia,South-East Asia,1604348,586.55,37353,13.66,4585,43424,15.88,894,0.33,96,Community transmission
Czechia,Europe,1600347,14964.99,20158,188.5,6,28426,265.81,618,5.78,30,Community transmission
South Africa,Africa,1565680,2639.88,8153,13.75,1325,53711,90.56,455,0.77,48,Community transmission
Netherlands,Europe,1395328,8015.63,53068,304.86,8336,16904,97.11,152,0.87,31,Community transmission
Chile,Americas,1124718,5883.59,48219,252.24,7370,25177,131.71,831,4.35,122,Community transmission
Canada,Americas,1113907,2951.36,61368,162.6,7845,23591,62.51,304,0.81,50,Community transmission
Romania,Europe,1027039,5313.51,24174,125.07,3474,26072,134.89,1066,5.52,135,Community transmission
Iraq,Eastern Mediterranean,977175,2429.42,52229,129.85,6188,14981,37.25,268,0.67,33,Community transmission
Belgium,Europe,947000,8218.75,20040,173.92,2,23718,205.84,229,1.99,5,Community transmission
Philippines,Western Pacific,936133,854.28,71286,65.05,10098,15960,14.56,1015,0.93,150,Community transmission
Sweden,Europe,900138,8715.86,35133,340.19,0,13788,133.51,28,0.27,0,Community transmission
Israel,Europe,836926,9669.25,1113,12.86,186,6334,73.18,42,0.49,19,Community transmission
Portugal,Europe,829911,8060.59,2983,28.97,0,16937,164.5,27,0.26,0,Clusters of cases
Pakistan,Eastern Mediterranean,756285,342.38,35267,15.97,6127,16243,7.35,800,0.36,149,Community transmission
Hungary,Europe,750508,7682.13,30344,310.6,3706,25184,257.78,1767,18.09,205,Community transmission
Bangladesh,South-East Asia,718950,436.55,34194,20.76,3698,10385,6.31,646,0.39,102,Community transmission
Jordan,Eastern Mediterranean,685973,6723.16,20238,198.35,2507,8246,80.82,473,4.64,68,Community transmission
Serbia,Europe,660299,9532.66,20823,300.62,2583,5954,85.96,254,3.67,34,Community transmission
Switzerland,Europe,629507,7273.65,9883,114.19,0,9815,113.41,20,0.23,0,Community transmission
Austria,Europe,588101,6607.09,16296,183.08,2591,9616,108.03,223,2.51,23,Community transmission
Japan,Western Pacific,534052,422.25,27766,21.95,4223,9641,7.62,241,0.19,19,Clusters of cases
Lebanon,Eastern Mediterranean,510403,7477.94,13557,198.62,1900,6925,101.46,264,3.87,39,Community transmission
Morocco,Eastern Mediterranean,505811,1370.37,3709,10.05,364,8945,24.23,45,0.12,1,Community transmission
United Arab Emirates,Eastern Mediterranean,497154,5026.63,13407,135.56,1930,1554,15.71,23,0.23,4,Clusters of cases
Saudi Arabia,Eastern Mediterranean,404970,1163.24,6535,18.77,916,6823,19.6,69,0.2,13,Community transmission
Bulgaria,Europe,385963,5552.24,14432,207.61,1076,15138,217.77,787,11.32,38,Clusters of cases
Slovakia,Europe,375974,6888.65,4912,90,638,11106,203.49,541,9.91,63,Clusters of cases
Malaysia,Western Pacific,375054,1158.79,14198,43.87,2195,1378,4.26,49,0.15,8,Community transmission
Panama,Americas,360597,8357.28,2220,51.45,348,6187,143.39,28,0.65,2,Community transmission
Ecuador,Americas,360546,2043.56,13729,77.82,2389,17703,100.34,410,2.32,62,Community transmission
Belarus,Europe,342923,3629.08,8060,85.3,1384,2413,25.54,69,0.73,10,Community transmission
Kazakhstan,Europe,338845,1804.6,15637,83.28,0,3963,21.11,0,0,0,Clusters of cases
Greece,Europe,313444,2924.31,19681,183.62,2411,9397,87.67,564,5.26,67,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,309567,6068.26,12693,248.81,988,3285,64.39,161,3.16,34,Community transmission
Croatia,Europe,307790,7584.46,15274,376.38,1565,6562,161.7,254,6.26,39,Community transmission
Azerbaijan,Europe,298522,2944.24,14943,147.38,2148,4107,40.51,228,2.25,30,Clusters of cases
Georgia,Europe,295358,7403.99,6962,174.52,818,3939,98.74,62,1.55,14,Community transmission
Bolivia (Plurinational State of),Americas,288545,2471.9,6975,59.75,1185,12634,108.23,192,1.64,9,Community transmission
Tunisia,Eastern Mediterranean,285490,2415.6,13629,115.32,1514,9783,82.78,490,4.15,66,Community transmission
Nepal,South-East Asia,284673,977.02,4645,15.94,1015,3083,10.58,43,0.15,8,Clusters of cases
Dominican Republic,Americas,261129,2407.18,3431,31.63,502,3418,31.51,30,0.28,4,Community transmission
Kuwait,Eastern Mediterranean,256987,6017.63,9893,231.66,1127,1448,33.91,41,0.96,8,Community transmission
Paraguay,Americas,248364,3482.13,14619,204.96,1558,5251,73.62,502,7.04,74,Community transmission
Republic of Moldova,Europe,245494,6085.68,4608,114.23,628,5548,137.53,179,4.44,27,Community transmission
Ireland,Europe,243238,4899.61,2595,52.27,419,4835,97.39,52,1.05,4,Community transmission
Denmark,Europe,241731,4151.48,4630,79.52,724,2452,42.11,13,0.22,0,Community transmission
Ethiopia,Africa,240236,208.97,12981,11.29,3682,3328,2.89,182,0.16,41,Community transmission
Lithuania,Europe,233631,8361.61,7458,266.92,802,3760,134.57,73,2.61,9,Community transmission
Slovenia,Europe,231593,11050.02,5639,269.05,766,4457,212.66,24,1.15,1,Clusters of cases
Costa Rica,Americas,228577,4487.08,5142,100.94,0,3071,60.29,47,0.92,0,Community transmission
Egypt,Eastern Mediterranean,216334,211.4,5845,5.71,850,12738,12.45,293,0.29,44,Community transmission
Guatemala,Americas,212307,1185.04,9236,51.55,0,7190,40.13,174,0.97,0,Community transmission
Armenia,Europe,208520,7036.91,5703,192.46,547,3878,130.87,143,4.83,19,Community transmission
Honduras,Americas,200259,2021.88,4734,47.8,577,4954,50.02,184,1.86,20,Community transmission
Qatar,Eastern Mediterranean,196580,6823.2,6555,227.52,823,382,13.26,49,1.7,6,Community transmission
Bosnia and Herzegovina,Europe,188994,5760.58,5869,178.89,0,7788,237.38,430,13.11,0,Community transmission
Venezuela (Bolivarian Republic of),Americas,181903,639.69,8117,28.54,1294,1888,6.64,129,0.45,18,Community transmission
Oman,Eastern Mediterranean,180031,3525.44,8482,166.1,3363,1878,36.78,102,2,57,Community transmission
Libya,Eastern Mediterranean,171880,2501.42,4055,59.01,749,2896,42.15,73,1.06,14,Community transmission
Nigeria,Africa,164147,79.63,411,0.2,0,2061,1,1,0,0,Community transmission
Bahrain,Eastern Mediterranean,164110,9644.59,7648,449.47,997,594,34.91,37,2.17,6,Community transmission
Uruguay,Americas,162400,4675.09,21020,605.11,2831,1848,53.2,434,12.49,60,Community transmission
Kenya,Africa,151287,281.35,6103,11.35,2068,2463,4.58,133,0.25,39,Community transmission
North Macedonia,Europe,146733,7043.03,5576,267.64,824,4419,212.11,237,11.38,31,Community transmission
Myanmar,South-East Asia,142628,262.14,41,0.08,0,3206,5.89,0,0,0,Clusters of cases
Albania,Europe,129307,4493.26,1152,40.03,0,2337,81.21,27,0.94,0,Clusters of cases
Puerto Rico,Americas,121701,4254.01,7504,262.3,1130,2200,76.9,46,1.61,6,Community transmission
Algeria,Africa,119486,272.48,1108,2.53,163,3152,7.19,26,0.06,4,Community transmission
Estonia,Europe,117554,8845.46,3380,254.33,543,1092,82.17,72,5.42,10,Clusters of cases
Republic of Korea,Western Pacific,114646,223.62,4505,8.79,532,1801,3.51,31,0.06,4,Clusters of cases
Latvia,Europe,110997,5818.44,3757,196.94,654,2048,107.36,62,3.25,6,Community transmission
Norway,Europe,106223,1978.97,4264,79.44,0,708,13.19,24,0.45,0,Community transmission
China,Western Pacific,103315,7.02,202,0.01,42,4856,0.33,2,0,0,Clusters of cases
Kosovo[1],Europe,101110,5630.78,3686,205.27,498,2051,114.22,85,4.73,8,Community transmission
Sri Lanka,South-East Asia,96796,452.04,1665,7.78,357,618,2.89,20,0.09,1,Clusters of cases
Montenegro,Europe,95374,15185.44,956,152.21,0,1428,227.37,55,8.76,0,Clusters of cases
Cuba,Americas,93511,825.59,6980,61.62,1037,525,4.64,66,0.58,13,Community transmission
Kyrgyzstan,Europe,91883,1408.34,1656,25.38,244,1549,23.74,27,0.41,3,Clusters of cases
Ghana,Africa,91663,294.99,403,1.3,118,771,2.48,17,0.05,5,Community transmission
Zambia,Africa,90844,494.15,926,5.04,312,1234,6.71,8,0.04,4,Community transmission
Uzbekistan,Europe,86022,257.02,1100,3.29,0,635,1.9,1,0,0,Clusters of cases
Finland,Europe,83633,1513.64,1926,34.86,0,887,16.05,19,0.34,0,Community transmission
Mozambique,Africa,69134,221.19,556,1.78,67,798,2.55,9,0.03,1,Community transmission
El Salvador,Americas,67557,1041.55,1068,16.47,153,2075,31.99,24,0.37,3,Community transmission
Luxembourg,Europe,64746,10341.03,1096,175.05,0,785,125.38,17,2.72,0,Community transmission
Cameroon,Africa,61731,232.54,4394,16.55,0,919,3.46,68,0.26,0,Community transmission
Singapore,Western Pacific,60831,1039.79,178,3.04,23,30,0.51,0,0,0,Sporadic cases
Afghanistan,Eastern Mediterranean,57898,148.73,656,1.69,105,2546,6.54,17,0.04,7,Community transmission
Cyprus,Europe,55407,6239.49,4372,492.34,786,288,32.43,16,1.8,4,Clusters of cases
Namibia,Africa,46515,1830.65,1192,46.91,185,602,23.69,38,1.5,3,Community transmission
C̫te d�۪Ivoire,Africa,45519,172.56,374,1.42,254,274,1.04,13,0.05,5,Community transmission
Botswana,Africa,44075,1874.23,1401,59.58,0,671,28.53,35,1.49,0,Community transmission
Jamaica,Americas,43890,1482.19,1390,46.94,206,723,24.42,51,1.72,2,Community transmission
Thailand,South-East Asia,43742,62.67,10132,14.52,1390,104,0.15,7,0.01,3,Clusters of cases
Uganda,Africa,41340,90.38,227,0.5,30,338,0.74,1,0,0,Community transmission
Senegal,Africa,39731,237.29,367,2.19,67,1090,6.51,13,0.08,3,Community transmission
Zimbabwe,Africa,37669,253.44,396,2.66,247,1552,10.44,14,0.09,2,Community transmission
Malawi,Africa,33934,177.39,129,0.67,15,1138,5.95,11,0.06,2,Community transmission
Sudan,Eastern Mediterranean,33022,75.31,165,0.38,0,2208,5.04,23,0.05,0,Clusters of cases
Madagascar,Africa,31617,114.18,4069,14.69,578,538,1.94,45,0.16,7,Community transmission
Malta,Europe,29927,5815.99,379,73.65,67,409,79.48,7,1.36,4,Clusters of cases
Australia,Western Pacific,29519,115.76,114,0.45,14,910,3.57,1,0,0,Clusters of cases
Democratic Republic of the Congo,Africa,28894,32.26,352,0.39,35,745,0.83,0,0,0,Community transmission
Maldives,South-East Asia,26348,4874.35,731,135.23,203,70,12.95,3,0.55,1,Clusters of cases
Angola,Africa,24300,73.94,969,2.95,178,561,1.71,11,0.03,1,Community transmission
Rwanda,Africa,23866,184.26,523,4.04,54,322,2.49,8,0.06,0,Community transmission
Mongolia,Western Pacific,21995,670.93,6981,212.95,1340,44,1.34,22,0.67,3,Clusters of cases
Gabon,Africa,21858,982.06,1222,54.9,292,133,5.98,6,0.27,1,Community transmission
Guinea,Africa,21460,163.41,653,4.97,68,138,1.05,5,0.04,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,21142,120.81,916,5.23,138,1446,8.26,68,0.39,9,Community transmission
Cabo Verde,Africa,19975,3592.71,1346,242.09,0,189,33.99,12,2.16,0,Community transmission
Mayotte,Africa,19789,7253.63,146,53.52,0,168,61.58,1,0.37,0,Community transmission
French Polynesia,Western Pacific,18696,6655.56,44,15.66,0,141,50.19,0,0,0,Sporadic cases
R̩union,Africa,18425,2057.94,917,102.42,0,135,15.08,12,1.34,0,Community transmission
Eswatini,Africa,18415,1587.28,1042,89.81,1,671,57.84,2,0.17,1,Community transmission
Mauritania,Africa,18121,389.73,116,2.49,49,452,9.72,2,0.04,0,Community transmission
French Guiana,Americas,18081,6053.6,532,178.12,0,95,31.81,1,0.33,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Burkina Faso,Africa,13114,62.74,158,0.76,31,154,0.74,2,0.01,0,Community transmission
Mali,Africa,12980,64.1,1275,6.3,145,429,2.12,24,0.12,3,Community transmission
Guadeloupe,Americas,12927,3230.75,623,155.7,0,194,48.48,5,1.25,0,Community transmission
Haiti,Americas,12918,113.29,78,0.68,0,251,2.2,0,0,0,Community transmission
Somalia,Eastern Mediterranean,12837,80.77,431,2.71,0,656,4.13,38,0.24,0,Community transmission
Andorra,Europe,12771,16528.83,274,354.62,59,123,159.19,3,3.88,0,Community transmission
Belize,Americas,12538,3153.2,51,12.83,0,318,79.97,0,0,0,Community transmission
Togo,Africa,12496,150.94,549,6.63,105,119,1.44,3,0.04,0,Community transmission
Guyana,Americas,11762,1495.39,718,91.28,120,268,34.07,16,2.03,1,Clusters of cases
Cura̤ao,Americas,11674,7114.26,1042,635.01,0,80,48.75,20,12.19,0,Community transmission
Lesotho,Africa,10709,499.9,2,0.09,0,315,14.7,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,10460,1058.7,584,59.11,48,116,11.74,20,2.02,2,Community transmission
South Sudan,Africa,10432,93.2,92,0.82,18,114,1.02,0,0,0,Community transmission
Aruba,Americas,10219,9571.4,323,302.53,0,92,86.17,0,0,0,Community transmission
Congo,Africa,10084,182.74,0,0,0,137,2.48,0,0,0,Community transmission
Papua New Guinea,Western Pacific,9799,109.52,1197,13.38,61,90,1.01,21,0.23,1,Community transmission
Martinique,Americas,9758,2600.3,871,232.1,0,66,17.59,7,1.87,0,Community transmission
Bahamas,Americas,9696,2465.64,257,65.35,0,194,49.33,5,1.27,0,Clusters of cases
Suriname,Americas,9545,1627.08,267,45.51,49,187,31.88,8,1.36,0,Clusters of cases
Trinidad and Tobago,Americas,8806,629.23,424,30.3,64,150,10.72,4,0.29,0,Community transmission
Guam,Western Pacific,7658,4537.4,31,18.37,4,136,80.58,0,0,0,Clusters of cases
Benin,Africa,7611,62.78,96,0.79,0,96,0.79,3,0.02,0,Community transmission
Equatorial Guinea,Africa,7259,517.4,40,2.85,0,106,7.56,0,0,0,Community transmission
Cambodia,Western Pacific,6389,38.21,1874,11.21,0,43,0.26,13,0.08,0,Sporadic cases
Iceland,Europe,6286,1726.29,28,7.69,0,29,7.96,0,0,0,Community transmission
Yemen,Eastern Mediterranean,5816,19.5,455,1.53,42,1127,3.78,77,0.26,7,Community transmission
Central African Republic,Africa,5787,119.82,322,6.67,59,75,1.55,1,0.02,0,Community transmission
Gambia,Africa,5733,237.23,131,5.42,13,170,7.03,2,0.08,0,Community transmission
Nicaragua,Americas,5407,81.62,41,0.62,0,180,2.72,1,0.02,0,Community transmission
Niger,Africa,5114,21.13,42,0.17,0,190,0.78,2,0.01,0,Community transmission
San Marino,Europe,5010,14762.21,54,159.11,0,86,253.4,1,2.95,0,Community transmission
Seychelles,Africa,4834,4915.25,344,349.78,69,25,25.42,1,1.02,0,Community transmission
Chad,Africa,4691,28.56,75,0.46,18,168,1.02,1,0.01,0,Community transmission
Saint Lucia,Americas,4401,2396.71,54,29.41,3,67,36.49,3,1.63,2,Community transmission
Gibraltar,Europe,4291,12736.34,14,41.55,1,94,279.01,0,0,0,Clusters of cases
Sierra Leone,Africa,4020,50.39,27,0.34,4,79,0.99,0,0,0,Community transmission
Comoros,Africa,3815,438.71,26,2.99,0,146,16.79,0,0,0,Community transmission
Barbados,Americas,3773,1312.92,54,18.79,0,44,15.31,0,0,0,Community transmission
Guinea-Bissau,Africa,3710,188.52,32,1.63,0,66,3.35,0,0,0,Community transmission
Burundi,Africa,3612,30.38,458,3.85,135,6,0.05,0,0,0,Community transmission
Eritrea,Africa,3491,98.44,44,1.24,0,10,0.28,0,0,0,Community transmission
Jersey,Europe,3232,2998.26,2,1.86,0,69,64.01,0,0,0,Community transmission
United States Virgin Islands,Americas,3028,2899.69,57,54.58,0,26,24.9,0,0,0,Community transmission
Liechtenstein,Europe,2892,7463.8,51,131.62,0,54,139.37,0,0,0,Sporadic cases
Viet Nam,Western Pacific,2785,2.86,89,0.09,4,35,0.04,0,0,0,Clusters of cases
Monaco,Europe,2395,6102.84,22,56.06,4,31,78.99,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2369,6118.6,12,30.99,0,17,43.91,0,0,0,Clusters of cases
Sao Tome and Principe,Africa,2275,1038.06,12,5.48,3,35,15.97,0,0,0,Community transmission
New Zealand,Western Pacific,2240,46.45,13,0.27,2,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2202,5135.02,28,65.3,0,27,62.96,0,0,0,Community transmission
Bermuda,Americas,2123,3409.18,350,562.04,63,18,28.9,4,6.42,1,Community transmission
Liberia,Africa,2071,40.95,5,0.1,0,85,1.68,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,1819,1639.63,29,26.14,0,10,9.01,0,0,0,Community transmission
Saint Martin,Americas,1710,4423.29,7,18.11,0,13,33.63,0,0,0,Community transmission
Isle of Man,Europe,1575,1852.24,1,1.18,0,29,34.1,0,0,0,No cases
Bonaire,Americas,1511,7224.48,36,172.13,0,14,66.94,0,0,0,Community transmission
Timor-Leste,South-East Asia,1306,99.06,260,19.72,70,2,0.15,1,0.08,0,Clusters of cases
Antigua and Barbuda,Americas,1216,1241.72,19,19.4,3,31,31.66,1,1.02,0,Clusters of cases
Mauritius,Africa,1203,94.59,91,7.16,5,15,1.18,3,0.24,0,Clusters of cases
Bhutan,South-East Asia,957,124.03,39,5.05,5,1,0.13,0,0,0,Sporadic cases
Saint Barth̩lemy,Americas,954,9650.99,26,263.02,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,822,1275.05,1,1.55,0,14,21.72,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,662,1354.75,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,525,798.84,9,13.69,0,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,447,3974.75,6,53.35,0,5,44.46,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,221,50.52,2,0.46,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,187,618.45,9,29.76,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,172,238.92,7,9.72,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,162,281.46,2,3.47,0,2,3.47,0,0,0,Pending
Grenada,Americas,159,141.3,2,1.78,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,124,43.43,3,1.05,1,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,74,8.25,6,0.67,2,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,62,1780.07,2,57.42,0,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,58,0.8,7,0.1,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,29,193.31,0,0,0,0,0,0,0,0,Sporadic cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
